event_id,event_name,event_group,event_type,start_date,end_date,start_year_month,end_year_month,event_span_type,visual_priority,use_in_report,strategy_input,data_available_flag,backtest_flag,calendar_role,event_description,event_note,source_file,source_variable,region,news_keywords,analyst_theme,shock_type,event_direction,severity,reference_flag,expected_etf_impact,source_note,caution
2013_taper_tantrum,Taper Tantrum / US QE Taper Signal,2013_taper_tantrum,market_event,2013-05-22,2013-09-18,2013-05,2013-09,window,3,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,US / Global / Korea,"['taper tantrum', 'QE taper', '버냉키', '양적완화 축소', '금리상승']","US taper signal, global yield shock, pressure on risk assets and duration-sensitive bonds",monetary_tightening,risk_off,3,True,"{'069500': 'negative', '114260': 'mixed', '153130': 'neutral'}",reference event; verify detailed Korean ETF impact with realized returns,Bond ETF response may be mixed because risk-off demand and rate-rise pressure can conflict.
2014_sewol_ferry_tragedy,Sewol Ferry Tragedy,2014_sewol_ferry_tragedy,market_event,2014-04-16,2014-04-16,2014-04,2014-04,point,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea,"['Sewol', 'ferry tragedy', '세월호', '참사', '사회적 충격']","Social trust shock, national mourning, domestic sentiment deterioration",social_tragedy,risk_off,3,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",carried from original shock_calendar; team source check recommended,
2015_mers_outbreak_korea,MERS Outbreak in Korea,2015_mers_outbreak_korea,market_event,2015-05-20,2015-07-28,2015-05,2015-07,window,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea,"['MERS', 'outbreak', '메르스', '감염병', '보건위기', '소비위축']","Public health shock, mobility and consumption slowdown, defensive preference",pandemic,risk_off,3,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",carried from original shock_calendar; team source check recommended,
2015_china_devaluation_global_selloff,China Yuan Devaluation / Global Equity Selloff,2015_china_devaluation_global_selloff,market_event,2015-08-11,2015-08-24,2015-08,2015-08,window,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,China / Global,"['China devaluation', 'yuan', '중국 위안화 절하', 'Black Monday', '글로벌 증시 급락']","China slowdown concern, global equity volatility, risk-off shock",market_volatility_shock,risk_off,3,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",reference event; verify detailed Korean ETF impact with realized returns,
2016_brexit_referendum,Brexit Referendum Shock,2016_brexit_referendum,market_event,2016-06-24,2016-06-24,2016-06,2016-06,point,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,UK / Europe / Global,"['Brexit', 'referendum', '브렉시트', '유럽 정치 리스크']","Global political uncertainty, temporary risk-off and safe-haven demand",political_shock,risk_off,3,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",reference event; verify detailed Korean ETF impact with realized returns,
2016_thaad_conflict,THAAD Conflict / China Retaliation Risk,2016_thaad_conflict,market_event,2016-07-08,2017-10-31,2016-07,2017-10,window,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea / China,"['THAAD', '사드', 'China retaliation', '중국 보복', '한중 갈등']","Diplomatic and trade tension, sector pressure, uncertainty in China-exposed Korean equities",geopolitical_trade_conflict,risk_off,3,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",carried from original shock_calendar; team source check recommended,
2016_2017_korea_impeachment_period,Park Geun-hye Impeachment Period,2016_2017_korea_impeachment_period,market_event,2016-12-09,2017-03-10,2016-12,2017-03,window,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea,"['impeachment', '박근혜 탄핵', '국정농단', '정치불확실성', '헌법재판소']",Political uncertainty and governance transition; market impact may be neutral or mixed after institutional resolution,political_event,mixed,2,True,"{'069500': 'neutral', '114260': 'neutral', '153130': 'neutral'}",carried from original shock_calendar; team source check recommended,Do not force a risk-off interpretation if realized market response was muted.
2017_north_korea_missile_tension,North Korea Nuclear / Missile Tension,2017_north_korea_missile_tension,market_event,2017-09-03,2017-11-29,2017-09,2017-11,window,3,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea / US / Global,"['North Korea', 'missile', 'nuclear test', '북한 미사일', '핵실험', '지정학 리스크']",Geopolitical risk premium around Korean assets and temporary risk aversion,geopolitical_tension,risk_off,3,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",reference event; team source check recommended,
2018_pyeongchang_olympics,Pyeongchang Winter Olympics,2018_pyeongchang_olympics,market_event,2018-02-09,2018-02-25,2018-02,2018-02,window,3,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea,"['Pyeongchang', 'Olympics', '평창올림픽', '평화', '국가 이미지']","Peace sentiment, national branding, temporary confidence uplift",sentiment_positive,risk_on,2,True,"{'069500': 'positive', '114260': 'neutral', '153130': 'neutral'}",carried from original shock_calendar; team source check recommended,
2018_2019_us_china_trade_war,US-China Trade War Regime,2018_2019_us_china_trade_war,market_event,2018-07-06,2019-12-13,2018-07,2019-12,regime,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,US / China / Global / Korea,"['US-China trade war', 'tariffs', '미중 무역전쟁', '관세', '수출주']","Trade uncertainty, global supply-chain pressure, risk sentiment deterioration for export-sensitive markets",trade_conflict,risk_off,4,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",reference event; verify detailed Korean ETF impact with realized returns,Long regime; avoid overcrowding main timeline. Use in appendix or regime shading.
