filename,line,hit_type,text,recommendation
00_05_Project_foundation_and_HSI_baseline.md,175,placeholder,"[최종 발표 placeholder] 발표에서는 00~05번을 길게 설명하기보다, “데이터와 상태분류가 누수 없이 연결되었고, baseline의 한계를 확인했기 때문에 Lambda 개선으로 넘어갔다”는 흐름으로 설명한다.",최종 제출 전 삭제 또는 실제 문장으로 확정
06_09_Signal_combo_and_event_balance_diagnostic.md,76,placeholder,"[상대속도 설명 placeholder] 최종 코드 설명서에서는 `signal_velocity`, `centroid_velocity`, `relative_velocity`의 계산식을 코드 변수명 기준으로 별도 정리한다.",최종 제출 전 삭제 또는 실제 문장으로 확정
10_Inertia_lambda_experiment.md,29,placeholder,"[수식 표기 placeholder] 최종 코드 설명서에서는 위 식을 코드 변수명 기준으로 `current_weight`, `previous_weight`, `target_weight`, `lambda_value`와 연결하여 정리한다.",최종 제출 전 삭제 또는 실제 문장으로 확정
10_Inertia_lambda_experiment.md,123,placeholder,"[후보 압축 placeholder] 후보 판단표에는 Lambda 0.5와 Lambda 0.7도 candidate로 표시될 수 있으나, 최종 보고서에서는 Turnover와 비용 민감도, 16번 robustness, 17번 BM alignment 결과까지 종합하여 Lambda 0.1과 Lambda 0.3을 우선 후보로 제시한다.",최종 제출 전 삭제 또는 실제 문장으로 확정
10_Inertia_lambda_experiment.md,197,placeholder,"[후속 연결 placeholder] 16번에서는 Lambda 0.1과 Lambda 0.3이 기간별·상태별·큰 손실월에서 버티는지 검증하고, 17번에서는 Fixed 70/20/10 BM과 EW Benchmark를 함께 두고 최종 비교 기준을 정렬한다.",최종 제출 전 삭제 또는 실제 문장으로 확정
11_Theta_sensitivity_experiment.md,71,placeholder,"[Theta 규칙 placeholder] 최종 코드 설명서에서는 `accident_extra`, `conflict_direction_band`, `theta_common`이 HSI 상태분류에 어떻게 작동하는지 대표 함수 또는 조건문 기준으로 별도 설명한다.",최종 제출 전 삭제 또는 실제 문장으로 확정
11_Theta_sensitivity_experiment.md,179,placeholder,"[상태분포 해석 placeholder] 최종 발표에서는 모든 상태분포를 설명하기보다, theta_0.15와 theta_0.20 또는 theta_0.30처럼 대표 후보 2~3개만 골라 상태분포 변화와 성과 차이를 함께 설명한다.",최종 제출 전 삭제 또는 실제 문장으로 확정
11_Theta_sensitivity_experiment.md,188,확인 필요,| theta_0.10 | 0.100 | -0.230 | 1.740 | 1.047 | review_turnover | 상태 전환이 잦아 Turnover 확인 필요 |,최종 제출 전 삭제 또는 실제 문장으로 확정
11_Theta_sensitivity_experiment.md,190,확인 필요,| theta_0.20 | 0.200 | -0.017 | 3.217 | 0.291 | review_turnover | 상태 전환이 잦아 Turnover 확인 필요 |,최종 제출 전 삭제 또는 실제 문장으로 확정
11_Theta_sensitivity_experiment.md,191,확인 필요,| theta_0.25 | 0.250 | -0.290 | 2.636 | -1.831 | review_turnover | 상태 전환이 잦아 Turnover 확인 필요 |,최종 제출 전 삭제 또는 실제 문장으로 확정
11_Theta_sensitivity_experiment.md,192,확인 필요,| theta_0.30 | 0.300 | 0.004 | 2.636 | -5.174 | review_turnover | 상태 전환이 잦아 Turnover 확인 필요 |,최종 제출 전 삭제 또는 실제 문장으로 확정
11_Theta_sensitivity_experiment.md,246,placeholder,"[후속 연결 placeholder] 10번 Lambda 실험에서는 비중 이동 속도 조정이 핵심 개선 장치임을 확인했고, 11번 Theta 실험에서는 상태분류 민감도 조정만으로는 Turnover 문제가 충분히 해결되지 않음을 확인했다. 이 두 실험을 연결하여 “상태판단보다 실행속도 조절이 최종 운용 가능성에 더 중요했다”는 구조로 설명한다.",최종 제출 전 삭제 또는 실제 문장으로 확정
12_13_Macro_companion_diagnostic.md,87,placeholder,[품질점검 placeholder] raw macro 원자료의 날짜 기준 컬럼은 데이터 담당자 확인 결과를 최종 문서에 반영한다.,최종 제출 전 삭제 또는 실제 문장으로 확정
12_13_Macro_companion_diagnostic.md,113,placeholder,[GDP 처리 placeholder] 최종 보고서에서는 “GDP는 초기 비교 변수로 검토했으나 최종 비중 조정 신호에서는 제외했다”는 데이터 담당 검토 의견을 함께 연결한다.,최종 제출 전 삭제 또는 실제 문장으로 확정
12_13_Macro_companion_diagnostic.md,199,placeholder,[산점도 해석 placeholder] 최종 발표에서는 산점도 자체보다 “금리와 환율이 같은 방향으로 위험 압력을 보일 때 macro risk로 해석했다”는 문장 중심으로 설명한다.,최종 제출 전 삭제 또는 실제 문장으로 확정
