artifact_type,filename,recommended_folder,report_group,exists_in_download_workspace,size_bytes,note
report_md,00_05_Project_foundation_and_HSI_baseline.md,docs,최종 사용,True,16788,00~05 초반 데이터·HSI baseline 구조
report_md,06_09_Signal_combo_and_event_balance_diagnostic.md,docs,최종 사용,True,19416,06~09 신호조합·event balance 보조진단
report_md,10_Inertia_lambda_experiment.md,docs,최종 사용,True,17097,10 Lambda 부분조정 실험
report_md,11_Theta_sensitivity_experiment.md,docs,최종 사용,True,20683,11 Theta 민감도 실험
report_md,12_13_Macro_companion_diagnostic.md,docs,최종 사용,True,19200,12~13 Macro companion 진단
report_md,14_Macro_companion_overlay.md,docs,최종 사용,True,17518,14 Macro soft overlay 실험
report_md,15_Lambda_macro_overlay_sensitivity.md,docs,최종 사용,True,18387,15 Lambda+macro 민감도
report_md,16_Regime_robustness_with_fixed_bm.md,docs,최종 사용: 기존 16번 대신 우선,True,13200,"16 Robustness 보완판, Fixed BM 포함"
report_md,17_Benchmark_alignment.md,docs,최종 사용,True,17230,17 Benchmark alignment
report_md,20_23_Final_candidate_selection_with_fixed_bm.md,docs,최종 사용: 기존 20~23번 대신 우선,True,6910,"20~23 최종 후보 선정, Fixed BM 포함"
note_md,main_final_hsi_macro_companion_diagnostic_note.md,docs,보조 note,True,955,12~13 macro companion 짧은 요약 노트
note_md,main_final_candidate_selection_note.md,docs,보조 note,True,1167,20~23 최종 후보 선정 짧은 요약 노트
table_csv,main_final_foundation_asset_universe_summary.csv,output/tables,00~05,True,662,
table_csv,main_final_foundation_monthly_return_summary.csv,output/tables,00~05,True,350,
table_csv,main_final_foundation_signal_availability_summary.csv,output/tables,00~05,True,883,
table_csv,main_final_foundation_hsi_state_distribution.csv,output/tables,00~05,True,389,
table_csv,main_final_foundation_baseline_and_bm_summary.csv,output/tables,00~05,True,919,
table_csv,main_final_foundation_key_input_structure.csv,output/tables,00~05,True,2475,
table_csv,main_final_foundation_key_output_structure.csv,output/tables,00~05,True,3014,
table_csv,main_final_06_09_signal_combo_comparison_summary.csv,output/tables,06~09,True,3243,
table_csv,main_final_06_09_event_balance_filter_comparison_summary.csv,output/tables,06~09,True,3226,
table_csv,main_final_06_09_event_balance_timeseries_subset.csv,output/tables,06~09,True,112883,
table_csv,main_final_06_09_diagnostic_role_summary.csv,output/tables,06~09,True,816,
table_csv,main_final_hsi_macro_overlap_summary.csv,output/tables,12~13,True,389,
table_csv,main_final_hsi_macro_overlap_type_summary.csv,output/tables,12~13,True,797,
table_csv,main_final_hsi_state_macro_risk_summary.csv,output/tables,12~13,True,1025,
table_csv,main_final_macro_companion_regime_summary.csv,output/tables,12~13,True,869,
table_csv,main_final_macro_companion_signal_summary_extended.csv,output/tables,12~13,True,1008,
table_csv,main_final_regime_robustness_summary_with_fixed_bm.csv,output/tables,16 fixed BM,True,1651,
table_csv,main_final_regime_robustness_by_period_with_fixed_bm.csv,output/tables,16 fixed BM,True,5723,
table_csv,main_final_regime_robustness_by_hsi_state_with_fixed_bm.csv,output/tables,16 fixed BM,True,7424,
