Market,EventName,StartDate,EndDate,EventType,ExpectedHSIDirection,OverlapStatus,ObsCount,AssetCount,MeanReturn,LargeUpCount,LargeDownCount,MediumUpCount,MediumDownCount
US,Dot-com bubble build-up,1999-01-01,2000-03-10,Overheating,Mixed or Risk Warning,no_overlap,0,0,,0,0,0,0
US,Dot-com collapse,2000-03-10,2002-10-04,Collapse,Risk Worsening,no_overlap,0,0,,0,0,0,0
US,Global financial crisis,2007-10-01,2009-03-09,Risk Crisis,Risk Worsening,no_overlap,0,0,,0,0,0,0
US,COVID crash,2020-02-19,2020-03-23,Risk Crisis,Risk Worsening,overlap,264,11,-0.008442673403057877,36,71,41,35
US,COVID liquidity rebound,2020-03-24,2021-12-31,Recovery and Overheating,Mixed,overlap,5472,13,0.0009814851465933798,288,277,880,583
US,Inflation and rate-hike shock,2022-01-01,2022-10-31,Risk Worsening,Risk Worsening,overlap,2639,13,-0.0005132413227342474,168,208,374,412
KR,KOSDAQ IT bubble build-up,1999-04-01,2000-02-29,Overheating,Mixed or Risk Warning,no_overlap,0,0,,0,0,0,0
KR,KOSDAQ IT bubble collapse,2000-03-01,2001-12-31,Collapse,Risk Worsening,no_overlap,0,0,,0,0,0,0
KR,Global financial crisis Korea,2008-01-01,2008-10-31,Risk Crisis,Risk Worsening,no_overlap,0,0,,0,0,0,0
KR,COVID crash Korea,2020-02-20,2020-03-19,Risk Crisis,Risk Worsening,overlap,231,11,-0.01003538584424218,29,64,33,34
KR,Battery-theme overheating,2023-04-01,2023-08-31,Overheating,Mixed or Risk Warning,overlap,1352,13,0.00044154652493222704,63,49,196,163
KR,Global tech and carry-trade shock,2024-08-01,2024-08-05,Risk Crisis,Risk Worsening,overlap,39,13,-0.014807042455904997,7,13,9,4
